127.0.0.1, 2014-01-05 19:10:55, GET, /admin/static/_2.8.2/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.001994
127.0.0.1, 2014-01-05 19:10:55, GET, /admin/static/_2.8.2/plugin_multiselect/start.js, HTTP/1.1, 304, 0.002322
127.0.0.1, 2014-01-05 19:10:55, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.002114
127.0.0.1, 2014-01-05 19:10:55, GET, /admin/static/_2.8.2/js/web2py.js, HTTP/1.1, 304, 0.001666
127.0.0.1, 2014-01-05 19:10:55, GET, /admin/static/_2.8.2/js/calendar.js, HTTP/1.1, 304, 0.001877
127.0.0.1, 2014-01-05 19:10:55, GET, /admin/static/_2.8.2/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 304, 0.000562
127.0.0.1, 2014-01-05 19:10:55, GET, /admin/static/images/questions.png, HTTP/1.1, 304, 0.000527
127.0.0.1, 2014-01-05 19:10:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000220
127.0.0.1, 2014-01-05 19:10:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000206
127.0.0.1, 2014-01-05 19:10:57, GET, /favicon.ico, HTTP/1.1, 400, 0.000267
127.0.0.1, 2014-01-05 19:10:57, GET, /favicon.ico, HTTP/1.1, 400, 0.000248
127.0.0.1, 2014-01-05 19:10:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000340
127.0.0.1, 2014-01-05 19:12:28, POST, /admin/default/site, HTTP/1.1, 303, 0.297311
127.0.0.1, 2014-01-05 19:12:29, GET, /admin/default/design/processos, HTTP/1.1, 200, 0.474304
127.0.0.1, 2014-01-05 19:12:29, GET, /admin/static/_2.8.2/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.001125
127.0.0.1, 2014-01-05 19:12:29, GET, /admin/static/_2.8.2/plugin_multiselect/start.js, HTTP/1.1, 304, 0.001353
127.0.0.1, 2014-01-05 19:12:29, GET, /admin/static/_2.8.2/js/web2py.js, HTTP/1.1, 304, 0.003089
127.0.0.1, 2014-01-05 19:12:29, GET, /admin/static/_2.8.2/js/jquery.js, HTTP/1.1, 304, 0.004525
127.0.0.1, 2014-01-05 19:12:29, GET, /admin/static/_2.8.2/js/calendar.js, HTTP/1.1, 304, 0.001085
127.0.0.1, 2014-01-05 19:12:29, GET, /admin/static/_2.8.2/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 304, 0.002391
127.0.0.1, 2014-01-05 19:12:29, GET, /admin/static/images/search.png, HTTP/1.1, 200, 0.046873
127.0.0.1, 2014-01-05 19:12:29, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.000704
127.0.0.1, 2014-01-05 19:12:29, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 200, 0.001414
127.0.0.1, 2014-01-05 19:12:29, GET, /admin/static/images/test_icon.png, HTTP/1.1, 200, 0.000866
127.0.0.1, 2014-01-05 19:12:30, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000518
127.0.0.1, 2014-01-05 19:12:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000318
127.0.0.1, 2014-01-05 19:12:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000320
127.0.0.1, 2014-01-05 19:12:33, GET, /admin/default/edit/processos/models/db.py, HTTP/1.1, 200, 0.281307
127.0.0.1, 2014-01-05 19:12:33, GET, /admin/static/_2.8.2/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.054969
127.0.0.1, 2014-01-05 19:12:33, GET, /admin/static/_2.8.2/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.027207
127.0.0.1, 2014-01-05 19:12:33, GET, /admin/static/_2.8.2/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.026341
127.0.0.1, 2014-01-05 19:12:33, GET, /admin/static/_2.8.2/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.002750
127.0.0.1, 2014-01-05 19:12:33, GET, /admin/static/_2.8.2/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.001191
127.0.0.1, 2014-01-05 19:12:33, GET, /admin/static/_2.8.2/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.002296
127.0.0.1, 2014-01-05 19:12:34, GET, /admin/static/_2.8.2/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.002899
127.0.0.1, 2014-01-05 19:12:34, GET, /admin/static/_2.8.2/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.002759
127.0.0.1, 2014-01-05 19:12:34, GET, /admin/static/_2.8.2/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.001709
127.0.0.1, 2014-01-05 19:12:34, GET, /admin/static/_2.8.2/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.000724
127.0.0.1, 2014-01-05 19:12:34, GET, /admin/static/_2.8.2/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.002328
127.0.0.1, 2014-01-05 19:12:34, GET, /admin/static/_2.8.2/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.002823
127.0.0.1, 2014-01-05 19:12:34, GET, /admin/static/_2.8.2/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.002842
127.0.0.1, 2014-01-05 19:12:34, GET, /admin/static/_2.8.2/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.001872
127.0.0.1, 2014-01-05 19:12:34, GET, /admin/static/_2.8.2/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.003882
127.0.0.1, 2014-01-05 19:12:34, GET, /admin/static/_2.8.2/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.055641
127.0.0.1, 2014-01-05 19:12:34, GET, /admin/static/_2.8.2/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.057750
127.0.0.1, 2014-01-05 19:12:34, GET, /admin/static/_2.8.2/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.056890
127.0.0.1, 2014-01-05 19:12:34, GET, /admin/static/_2.8.2/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.000577
127.0.0.1, 2014-01-05 19:12:34, GET, /admin/static/_2.8.2/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.002890
127.0.0.1, 2014-01-05 19:12:34, GET, /admin/static/_2.8.2/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.001044
127.0.0.1, 2014-01-05 19:12:34, GET, /admin/static/_2.8.2/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.003659
127.0.0.1, 2014-01-05 19:12:34, GET, /admin/static/_2.8.2/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.005500
127.0.0.1, 2014-01-05 19:12:34, GET, /admin/static/_2.8.2/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.002730
127.0.0.1, 2014-01-05 19:12:34, GET, /admin/static/_2.8.2/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.001800
127.0.0.1, 2014-01-05 19:12:34, GET, /admin/static/_2.8.2/codemirror/emmet.min.js, HTTP/1.1, 200, 0.003341
127.0.0.1, 2014-01-05 19:12:34, GET, /admin/static/_2.8.2/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.005345
127.0.0.1, 2014-01-05 19:12:34, GET, /admin/static/_2.8.2/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.002527
127.0.0.1, 2014-01-05 19:12:34, GET, /admin/static/_2.8.2/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.005387
127.0.0.1, 2014-01-05 19:12:34, GET, /admin/static/_2.8.2/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.002212
127.0.0.1, 2014-01-05 19:12:34, GET, /admin/static/_2.8.2/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.001255
127.0.0.1, 2014-01-05 19:12:34, GET, /admin/static/_2.8.2/css/web2py-codemirror.css, HTTP/1.1, 200, 0.000703
127.0.0.1, 2014-01-05 19:12:34, GET, /admin/static/_2.8.2/js/typeahead.min.js, HTTP/1.1, 200, 0.001168
127.0.0.1, 2014-01-05 19:12:34, GET, /admin/static/_2.8.2/js/ajax_editor.js, HTTP/1.1, 200, 0.002092
127.0.0.1, 2014-01-05 19:12:34, GET, /admin/static/_2.8.2/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.000938
127.0.0.1, 2014-01-05 19:12:34, GET, /admin/static/_2.8.2/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000743
127.0.0.1, 2014-01-05 19:12:34, GET, /admin/static/_2.8.2/images/files_toggle.png, HTTP/1.1, 200, 0.001086
127.0.0.1, 2014-01-05 19:12:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000397
127.0.0.1, 2014-01-05 19:12:34, GET, /admin/default/edit/processos/models/db.py, HTTP/1.1, 200, 0.517111
127.0.0.1, 2014-01-05 19:12:34, GET, /admin/static/images/save_icon.png, HTTP/1.1, 200, 0.001209
127.0.0.1, 2014-01-05 19:12:34, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.535259
127.0.0.1, 2014-01-05 19:12:35, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.602622
127.0.0.1, 2014-01-05 19:12:35, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.933891
127.0.0.1, 2014-01-05 19:12:37, GET, /favicon.ico, HTTP/1.1, 400, 0.000410
127.0.0.1, 2014-01-05 19:12:37, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 2.849641
127.0.0.1, 2014-01-05 19:12:57, POST, /admin/default/edit/processos/models/db.py, HTTP/1.1, 200, 0.274451
127.0.0.1, 2014-01-05 19:13:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000236
127.0.0.1, 2014-01-05 19:13:12, GET, /admin/default/design/processos, HTTP/1.1, 200, 0.369174
127.0.0.1, 2014-01-05 19:13:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000301
127.0.0.1, 2014-01-05 19:13:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000220
127.0.0.1, 2014-01-05 19:13:51, GET, /admin/default/edit/processos/models/menu.py, HTTP/1.1, 200, 0.155252
127.0.0.1, 2014-01-05 19:13:52, GET, /admin/default/edit/processos/models/menu.py, HTTP/1.1, 200, 0.080578
127.0.0.1, 2014-01-05 19:13:52, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.042542
127.0.0.1, 2014-01-05 19:13:52, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.100970
127.0.0.1, 2014-01-05 19:13:52, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.166499
127.0.0.1, 2014-01-05 19:13:52, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.102869
127.0.0.1, 2014-01-05 19:13:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000305
127.0.0.1, 2014-01-05 19:13:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000252
127.0.0.1, 2014-01-05 19:14:04, POST, /admin/default/edit/processos/models/menu.py, HTTP/1.1, 200, 0.114144
127.0.0.1, 2014-01-05 19:14:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000263
127.0.0.1, 2014-01-05 19:14:14, GET, /admin/default/design/processos, HTTP/1.1, 200, 0.271489
127.0.0.1, 2014-01-05 19:14:14, GET, /admin/static/images/search.png, HTTP/1.1, 304, 0.000531
127.0.0.1, 2014-01-05 19:14:14, GET, /admin/static/images/help.png, HTTP/1.1, 304, 0.000387
127.0.0.1, 2014-01-05 19:14:14, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 304, 0.000334
127.0.0.1, 2014-01-05 19:14:14, GET, /admin/static/images/test_icon.png, HTTP/1.1, 304, 0.000431
127.0.0.1, 2014-01-05 19:14:14, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000366
127.0.0.1, 2014-01-05 19:14:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000372
127.0.0.1, 2014-01-05 19:14:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000269
127.0.0.1, 2014-01-05 19:15:17, GET, /admin/default/edit/processos/controllers/appadmin.py, HTTP/1.1, 200, 0.075445
127.0.0.1, 2014-01-05 19:15:18, GET, /admin/default/edit/processos/controllers/appadmin.py, HTTP/1.1, 200, 0.097419
127.0.0.1, 2014-01-05 19:15:18, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.067831
127.0.0.1, 2014-01-05 19:15:18, GET, /admin/static/images/save_icon.png, HTTP/1.1, 304, 0.000610
127.0.0.1, 2014-01-05 19:15:18, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.108716
127.0.0.1, 2014-01-05 19:15:18, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.153000
127.0.0.1, 2014-01-05 19:15:18, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.085603
